"SAGDP10N Per capita real GDP by state"
"Per capita real GDP by state (Chained 2012 dollars) 1/" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","2014","2016","2018"
"00000","United States",53080,54660,56749
"01000","Alabama",38479,38977,40279
"02000","Alaska",72265,70947,70936
"04000","Arizona",40602,41564,43096
"05000","Arkansas",37977,38051,38467
"06000","California",59804,63731,67698
"08000","Colorado",55130,56926,59057
"09000","Connecticut",66084,67468,67784
"10000","Delaware",68297,67127,66023
"11000","District of Columbia",173523,173856,176534
"12000","Florida",40499,41882,43052
"13000","Georgia",46088,48058,49663
"15000","Hawaii",52658,55148,56880
"16000","Idaho",37614,38959,39843
"17000","Illinois",56965,57989,59980
"18000","Indiana",47479,47507,48738
"19000","Iowa",52973,53934,54101
"20000","Kansas",49348,50923,52297
"21000","Kentucky",40719,40920,41659
"22000","Louisiana",49921,48849,49606
"23000","Maine",40141,41091,42356
"24000","Maryland",56848,59133,60886
"25000","Massachusetts",67046,70005,72635
"26000","Michigan",43351,45088,46858
"27000","Minnesota",56534,57504,59057
"28000","Mississippi",33247,33504,34029
"29000","Missouri",45040,44882,46064
"30000","Montana",42169,42477,42173
"31000","Nebraska",57000,57833,58141
"32000","Nevada",45995,47361,48189
"33000","New Hampshire",52110,54041,55744
"34000","New Jersey",59212,60527,62263
"35000","New Mexico",42649,43468,44187
"36000","New York",68589,70680,73531
"37000","North Carolina",45665,46564,47778
"38000","North Dakota",76357,67279,67308
"39000","Ohio",49157,49987,51456
"40000","Oklahoma",48491,48162,48954
"41000","Oregon",45910,48964,50996
"42000","Pennsylvania",51981,53621,55602
"44000","Rhode Island",49439,50125,50827
"45000","South Carolina",37995,39221,39883
"46000","South Dakota",51938,52642,51997
"47000","Tennessee",44570,46101,47695
"48000","Texas",56060,57025,58417
"49000","Utah",46262,48273,49740
"50000","Vermont",45569,46913,47921
"51000","Virginia",53600,54143,55929
"53000","Washington",60310,63071,67242
"54000","West Virginia",37765,37502,39495
"55000","Wisconsin",48893,49960,51575
"56000","Wyoming",66193,65167,66413
"91000","New England",60843,62928,64600
"92000","Mideast",62527,64345,66560
"93000","Great Lakes",49806,50784,52419
"94000","Plains",52248,52631,53613
"95000","Southeast",43353,44295,45530
"96000","Southwest",51992,52877,54229
"97000","Rocky Mountain",49802,51340,52834
"98000","Far West",58129,61582,65130
"Legend / Footnotes:"
"1/ Per capita real GDP statistics for 2010-2018 reflect Census Bureau midyear population estimates available as of December 2018."
"Last updated: May 1, 2019-- new statistics for 2018; revised statistics for 2010-2017."
